Episode,Epsilon,LearningRate
,1,1.00000,1.00000
,2,1.00000,1.00000
,3,1.00000,1.00000
,4,1.00000,1.00000
,5,0.97609,1.00000
,6,0.95523,1.00000
,7,0.95504,1.00000
,8,0.94232,1.00000
,9,0.93052,1.00000
,10,0.91539,1.00000
,11,0.91374,1.00000
,12,0.91356,1.00000
,13,0.91064,1.00000
,14,0.90429,1.00000
,15,0.89672,1.00000
,16,0.88408,1.00000
,17,0.86449,1.00000
,18,0.85709,1.00000
,19,0.84822,1.00000
,20,0.84314,1.00000
,21,0.83961,1.00000
,22,0.83944,1.00000
,23,0.83693,1.00000
,24,0.83392,1.00000
,25,0.81447,1.00000
,26,0.79802,1.00000
,27,0.79579,1.00000
,28,0.79039,1.00000
,29,0.78378,1.00000
,30,0.78363,1.00000
,31,0.78347,1.00000
,32,0.76811,1.00000
,33,0.74332,1.00000
,34,0.72947,1.00000
,35,0.72250,1.00000
,36,0.71632,1.00000
,37,0.71303,1.00000
,38,0.70368,1.00000
,39,0.68507,1.00000
,40,0.68288,1.00000
,41,0.68070,1.00000
,42,0.67866,1.00000
,43,0.67096,1.00000
,44,0.67083,1.00000
,45,0.66895,1.00000
,46,0.66788,1.00000
,47,0.66442,1.00000
,48,0.66044,1.00000
,49,0.65087,1.00000
,50,0.64983,1.00000
,51,0.63798,1.00000
,52,0.63290,1.00000
,53,0.62974,1.00000
,54,0.62610,1.00000
,55,0.62235,1.00000
,56,0.60046,1.00000
,57,0.59437,1.00000
,58,0.58634,1.00000
,59,0.57900,1.00000
,60,0.57473,1.00000
,61,0.56799,1.00000
,62,0.56674,1.00000
,63,0.55707,1.00000
,64,0.55696,1.00000
,65,0.54571,1.00000
,66,0.53985,1.00000
,67,0.52874,1.00000
,68,0.52863,1.00000
,69,0.51951,1.00000
,70,0.51290,1.00000
,71,0.50285,1.00000
,72,0.50114,1.00000
,73,0.48439,1.00000
,74,0.48390,1.00000
,75,0.47909,1.00000
,76,0.47347,1.00000
,77,0.47139,1.00000
,78,0.46344,1.00000
,79,0.45727,1.00000
,80,0.45718,1.00000
,81,0.45290,1.00000
,82,0.45263,1.00000
,83,0.45127,1.00000
,84,0.44875,1.00000
,85,0.44420,1.00000
,86,0.44367,1.00000
,87,0.43925,1.00000
,88,0.43855,1.00000
,89,0.40024,1.00000
,90,0.39602,1.00000
,91,0.38593,1.00000
,92,0.38224,1.00000
,93,0.37708,1.00000
,94,0.36630,1.00000
,95,0.36593,1.00000
,96,0.36586,1.00000
,97,0.36266,1.00000
,98,0.35912,1.00000
,99,0.35905,1.00000
