Episode,AvgReward,Success
1001,66.69,0
1002,68.78,0
1003,74.03,0
1004,91.98,0
1005,37.86,0
1006,54.80,0
1007,82.33,0
1008,60.56,0
1009,77.35,0
1010,48.38,0
1011,65.83,0
1012,52.42,0
1013,104.85,0
1014,138.83,0
1015,39.04,0
1016,49.16,0
1017,37.98,0
1018,45.99,0
1019,74.18,0
1020,71.50,0
1021,42.61,0
1022,38.21,0
1023,233.90,0
1024,63.41,0
1025,52.88,0
1026,118.50,0
1027,41.54,0
1028,129.27,0
1029,58.21,0
1030,38.35,0
1031,54.07,0
1032,205.18,0
1033,84.11,0
1034,46.60,0
1035,63.90,0
1036,40.42,0
1037,41.13,0
1038,40.39,0
1039,59.69,0
1040,43.92,0
1041,71.26,0
1042,46.13,0
1043,91.68,0
1044,39.10,0
1045,66.01,0
1046,212.82,0
1047,42.80,0
1048,78.73,0
1049,50.51,0
1050,168.55,0
1051,59.76,0
1052,51.60,0
1053,41.14,0
1054,51.85,0
1055,44.32,0
1056,104.97,0
1057,42.77,0
1058,43.43,0
1059,200.83,0
1060,84.82,0
1061,37.29,0
1062,39.25,0
1063,51.32,0
1064,38.80,0
1065,63.19,0
1066,39.29,0
1067,38.06,0
1068,71.45,0
1069,108.56,100
1070,48.57,0
1071,109.12,100
1072,114.33,0
1073,137.28,0
1074,116.99,0
1075,40.76,0
1076,68.39,0
1077,72.36,0
1078,323.20,100
1079,43.01,0
1080,51.54,0
1081,220.06,0
1082,43.00,0
1083,74.73,0
1084,131.82,0
1085,63.84,0
1086,116.11,0
1087,73.69,0
1088,67.58,0
1089,59.61,0
1090,206.54,0
1091,39.95,0
1092,54.38,0
1093,39.10,0
1094,195.80,0
1095,71.05,0
1096,57.18,0
1097,69.91,0
1098,46.73,0
1099,53.15,0
1100,48.31,0
1101,51.79,0
1102,58.58,0
1103,153.48,0
1104,54.95,0
1105,38.24,0
1106,97.91,0
1107,38.81,0
1108,45.74,0
1109,39.23,0
1110,68.41,0
1111,144.32,0
1112,39.51,0
1113,218.56,0
1114,51.75,0
1115,38.25,0
1116,71.39,0
1117,39.68,0
1118,39.52,0
1119,38.12,0
1120,37.77,0
1121,56.45,0
1122,134.76,0
1123,125.49,100
1124,112.42,100
1125,104.35,0
1126,55.11,0
1127,77.66,0
1128,38.72,0
1129,61.58,0
1130,110.15,0
1131,59.54,0
1132,64.37,0
1133,122.69,0
1134,41.70,0
1135,115.57,0
1136,78.69,0
1137,76.91,0
1138,79.24,0
1139,100.75,0
1140,46.34,0
1141,71.25,0
1142,124.19,0
1143,76.28,0
1144,83.87,0
1145,51.67,0
1146,39.23,0
1147,44.53,0
1148,41.70,0
1149,126.40,0
1150,40.31,0
1151,49.47,0
1152,82.90,0
1153,67.86,0
1154,176.54,0
1155,53.75,0
1156,62.11,0
1157,95.32,0
1158,113.40,0
1159,221.75,0
1160,38.82,0
1161,38.94,0
1162,60.75,0
1163,74.84,0
1164,99.26,0
1165,93.49,0
1166,56.03,0
1167,40.75,0
1168,76.04,0
1169,134.16,100
1170,49.07,0
1171,47.36,0
1172,108.49,0
1173,99.90,0
1174,58.54,0
1175,160.72,0
1176,64.53,0
1177,180.42,0
1178,58.01,0
1179,81.73,0
1180,182.18,0
1181,40.08,0
1182,171.40,100
1183,133.67,0
1184,54.19,0
1185,136.13,0
1186,51.15,0
1187,39.88,0
1188,76.58,0
1189,111.14,0
1190,137.60,100
1191,56.35,0
1192,58.56,0
1193,53.11,0
1194,126.83,0
1195,39.63,0
1196,46.39,0
1197,53.73,0
1198,58.29,0
1199,78.94,0
1200,39.49,0
1201,71.65,0
1202,41.14,0
1203,42.33,0
1204,63.35,0
1205,120.69,100
1206,144.10,100
1207,66.19,0
1208,121.78,100
